YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_TIME_BLK,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,2374,11433,DTW,"Detroit, MI",MI,11298,DFW,"Dallas/Fort Worth, TX",TX,1153,,,,,1100-1159,1353,,,,,1300-1359,1.0,0.0,180.0,,,986.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,2603,13342,MKE,"Milwaukee, WI",WI,14107,PHX,"Phoenix, AZ",AZ,735,,,,,0700-0759,1035,,,,,1000-1059,1.0,0.0,240.0,,,1460.0,6
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,756,15376,TUS,"Tucson, AZ",AZ,11298,DFW,"Dallas/Fort Worth, TX",TX,904,,,,,0900-0959,1223,,,,,1200-1259,1.0,0.0,139.0,,,813.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,AS,1341,14747,SEA,"Seattle, WA",WA,14831,SJC,"San Jose, CA",CA,705,,,,,0700-0759,922,,,,,0900-0959,1.0,0.0,137.0,,,696.0,3
2026,1,1,1,4,1/1/2026 12:00:00 AM,AS,207,12892,LAX,"Los Angeles, CA",CA,14057,PDX,"Portland, OR",OR,2125,,,,,2100-2159,2,,,,,0001-0559,1.0,0.0,157.0,,,833.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,AS,570,12889,LAS,"Las Vegas, NV",NV,14771,SFO,"San Francisco, CA",CA,2217,,,,,2200-2259,6,,,,,0001-0559,1.0,0.0,109.0,,,414.0,2
2026,1,1,1,4,1/1/2026 12:00:00 AM,AS,748,12892,LAX,"Los Angeles, CA",CA,14747,SEA,"Seattle, WA",WA,740,,,,,0700-0759,1045,,,,,1000-1059,1.0,0.0,185.0,,,954.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,AS,811,14771,SFO,"San Francisco, CA",CA,12173,HNL,"Honolulu, HI",HI,720,,,,,0700-0759,1119,,,,,1100-1159,1.0,0.0,359.0,,,2398.0,10
2026,1,1,1,4,1/1/2026 12:00:00 AM,AS,876,12173,HNL,"Honolulu, HI",HI,12889,LAS,"Las Vegas, NV",NV,1252,,,,,1200-1259,2033,,,,,2000-2059,1.0,0.0,341.0,,,2762.0,11
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,1170,11697,FLL,"Fort Lauderdale, FL",FL,10721,BOS,"Boston, MA",MA,600,,,,,0600-0659,912,,,,,0900-0959,1.0,0.0,192.0,,,1237.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,1214,11298,DFW,"Dallas/Fort Worth, TX",TX,10721,BOS,"Boston, MA",MA,1123,,,,,1100-1159,1604,,,,,1600-1659,1.0,0.0,221.0,,,1562.0,7
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,138,13204,MCO,"Orlando, FL",FL,10529,BDL,"Hartford, CT",CT,1014,,,,,1000-1059,1300,,,,,1300-1359,1.0,0.0,166.0,,,1050.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,1502,11697,FLL,"Fort Lauderdale, FL",FL,12478,JFK,"New York, NY",NY,609,,,,,0600-0659,900,,,,,0900-0959,1.0,0.0,171.0,,,1069.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,1697,10397,ATL,"Atlanta, GA",GA,11697,FLL,"Fort Lauderdale, FL",FL,1735,,,,,1700-1759,1925,,,,,1900-1959,1.0,0.0,110.0,,,581.0,3
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,2098,11697,FLL,"Fort Lauderdale, FL",FL,10397,ATL,"Atlanta, GA",GA,1445,,,,,1400-1459,1637,,,,,1600-1659,1.0,0.0,112.0,,,581.0,3
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,245,14524,RIC,"Richmond, VA",VA,11697,FLL,"Fort Lauderdale, FL",FL,1732,,,,,1700-1759,2001,,,,,2000-2059,1.0,0.0,149.0,,,806.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,246,11697,FLL,"Fort Lauderdale, FL",FL,14524,RIC,"Richmond, VA",VA,1418,,,,,1400-1459,1637,,,,,1600-1659,1.0,0.0,139.0,,,806.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,249,10721,BOS,"Boston, MA",MA,14685,SAV,"Savannah, GA",GA,811,,,,,0800-0859,1106,,,,,1100-1159,1.0,0.0,175.0,,,901.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,B6,251,12197,HPN,"White Plains, NY",NY,14635,RSW,"Fort Myers, FL",FL,945,,,,,0900-0959,1258,,,,,1200-1259,1.0,0.0,193.0,,,1102.0,5
