,Data Type,Missing Values,Unique Values
YEAR,int64,0,1
QUARTER,int64,0,1
MONTH,int64,0,1
DAY_OF_MONTH,int64,0,31
DAY_OF_WEEK,int64,0,7
FL_DATE,str,0,31
OP_UNIQUE_CARRIER,str,0,13
OP_CARRIER_FL_NUM,int64,0,6307
ORIGIN_AIRPORT_ID,int64,0,341
ORIGIN,str,0,341
ORIGIN_CITY_NAME,str,0,335
ORIGIN_STATE_ABR,str,0,52
DEST_AIRPORT_ID,int64,0,342
DEST,str,0,342
DEST_CITY_NAME,str,0,336
DEST_STATE_ABR,str,0,52
CRS_DEP_TIME,int64,0,1208
DEP_TIME,float64,25164,1387
DEP_DELAY,float64,25229,1183
DEP_DELAY_NEW,float64,25229,1139
DEP_DEL15,float64,25229,2
DEP_TIME_BLK,str,0,19
CRS_ARR_TIME,int64,0,1317
ARR_TIME,float64,25838,1440
ARR_DELAY,float64,26781,1221
ARR_DELAY_NEW,float64,26781,1142
ARR_DEL15,float64,26781,2
ARR_TIME_BLK,str,0,19
CANCELLED,float64,0,2
DIVERTED,float64,0,2
CRS_ELAPSED_TIME,float64,0,470
ACTUAL_ELAPSED_TIME,float64,26781,660
AIR_TIME,float64,26781,625
DISTANCE,float64,0,1516
DISTANCE_GROUP,int64,0,11
