YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_TIME_BLK,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,1071,14679,SAN,"San Diego, CA",CA,11057,CLT,"Charlotte, NC",NC,615,613.0,-2.0,0.0,0.0,0600-0659,1400,1930.0,,,,1400-1459,0.0,1.0,285.0,,,2077.0,9
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,1093,13303,MIA,"Miami, FL",FL,12889,LAS,"Las Vegas, NV",NV,1932,1928.0,-4.0,0.0,0.0,1900-1959,2208,928.0,,,,2200-2259,0.0,1.0,336.0,,,2174.0,9
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,1367,11298,DFW,"Dallas/Fort Worth, TX",TX,10529,BDL,"Hartford, CT",CT,1312,1307.0,-5.0,0.0,0.0,1300-1359,1735,2031.0,,,,1700-1759,0.0,1.0,203.0,,,1471.0,6
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,1610,11057,CLT,"Charlotte, NC",NC,12889,LAS,"Las Vegas, NV",NV,1829,2041.0,132.0,132.0,1.0,1800-1859,2020,219.0,,,,2000-2059,0.0,1.0,291.0,,,1916.0,8
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,1797,11298,DFW,"Dallas/Fort Worth, TX",TX,12889,LAS,"Las Vegas, NV",NV,2042,2108.0,26.0,26.0,1.0,2000-2059,2141,126.0,,,,2100-2159,0.0,1.0,179.0,,,1055.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,1954,11057,CLT,"Charlotte, NC",NC,14679,SAN,"San Diego, CA",CA,855,853.0,-2.0,0.0,0.0,0800-0859,1105,1405.0,,,,1100-1159,0.0,1.0,310.0,,,2077.0,9
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,2057,14107,PHX,"Phoenix, AZ",AZ,14679,SAN,"San Diego, CA",CA,825,819.0,-6.0,0.0,0.0,0800-0859,848,1427.0,,,,0800-0859,0.0,1.0,83.0,,,304.0,2
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,2311,13930,ORD,"Chicago, IL",IL,12889,LAS,"Las Vegas, NV",NV,1855,2006.0,71.0,71.0,1.0,1800-1859,2102,48.0,,,,2100-2159,0.0,1.0,247.0,,,1514.0,7
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,2685,13303,MIA,"Miami, FL",FL,14679,SAN,"San Diego, CA",CA,858,851.0,-7.0,0.0,0.0,0800-0859,1153,1624.0,,,,1100-1159,0.0,1.0,355.0,,,2267.0,10
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,2722,14100,PHL,"Philadelphia, PA",PA,14679,SAN,"San Diego, CA",CA,837,833.0,-4.0,0.0,0.0,0800-0859,1139,1744.0,,,,1100-1159,0.0,1.0,362.0,,,2370.0,10
2026,1,1,1,4,1/1/2026 12:00:00 AM,AA,2760,10721,BOS,"Boston, MA",MA,12892,LAX,"Los Angeles, CA",CA,1759,127.0,448.0,448.0,1.0,1700-1759,2126,747.0,,,,2100-2159,0.0,1.0,387.0,,,2611.0,11
