,ARR_DELAY
ARR_DELAY,1.0
ARR_DELAY_NEW,0.9857607185543595
DEP_DELAY,0.9692607407194678
DEP_DELAY_NEW,0.9668663999124792
ARR_DEL15,0.5591235288487751
DEP_DEL15,0.516071975604304
DEP_TIME,0.1104401222180744
ACTUAL_ELAPSED_TIME,0.058483484198221226
DEP_HOUR,0.057936071041823245
CRS_DEP_TIME,0.05789819257321877
CRS_ARR_TIME,0.05272160627761623
ARR_HOUR,0.05262674209337086
DAY_OF_YEAR,0.038542042559325425
DAY_OF_MONTH,0.03854204255932542
IS_WEEKEND,0.03540906353945482
OP_CARRIER_FL_NUM,0.028035189849569476
ARR_TIME,0.02015723517022346
DAY_OF_WEEK,0.018555408816553032
AIR_TIME,0.008016516987393512
DEST_AIRPORT_ID,0.001486531376265302
CRS_ELAPSED_TIME,-0.0036353526498507454
DISTANCE,-0.005607828542782406
DISTANCE_GROUP,-0.006554794923181563
ORIGIN_AIRPORT_ID,-0.007711115487835786
YEAR,
QUARTER,
MONTH,
CANCELLED,
DIVERTED,
