DEP_HOUR,ARR_DEL15
0,13.502109704641349
1,20.76271186440678
2,28.24427480916031
3,27.77777777777778
4,50.0
5,11.012807549713516
6,12.874810407187026
7,15.09433962264151
8,16.832133586662742
9,17.842390086137886
10,18.828361435365327
11,19.840296677333495
12,20.878490566037737
13,21.6566246350705
14,22.62970481546807
15,24.010117411941046
16,24.898158709467168
17,24.90937338166753
18,25.50883321018338
19,26.150014649868154
20,26.007141779409547
21,25.073897956560852
22,24.471891954288353
23,18.0
