,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_TIME_BLK,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP
count,544003.0,544003.0,544003.0,544003.0,544003.0,544003,544003,544003.0,544003.0,544003,544003,544003,544003.0,544003,544003,544003,544003.0,518839.0,518774.0,518774.0,518774.0,544003,544003.0,518165.0,517222.0,517222.0,517222.0,544003,544003.0,544003.0,544003.0,517222.0,517222.0,544003.0,544003.0
unique,,,,,,31,13,,,341,335,52,,342,336,52,,,,,,19,,,,,,19,,,,,,,
top,,,,,,1/4/2026 12:00:00 AM,WN,,,ORD,"Chicago, IL",TX,,ORD,"Chicago, IL",TX,,,,,,0700-0759,,,,,,1600-1659,,,,,,,
freq,,,,,,20018,104002,,,25131,29979,58169,,25119,29973,58160,,,,,,40142,,,,,,36517,,,,,,,
mean,2026.0,1.0,1.0,15.774598669492631,4.109679542208407,,,2543.1301408264294,12680.789311823648,,,,12680.593586800072,,,,1312.9497374095363,1321.039316628087,13.096535292825006,16.75644885826969,0.20682802145057386,,1507.9822574507862,1482.2059768606525,6.410359574805403,16.6405334653205,0.2077927853030227,,0.047122901895761606,0.0021066060297461595,152.75075688920833,146.30270754144254,118.12349436025536,846.6484872326072,3.8574585066626472
std,0.0,0.0,0.0,9.001972459839967,1.9526915033874221,,,1637.303970306579,1529.1231175400853,,,,1529.0638264698537,,,,477.7069743468672,491.6448710593383,60.96847967673901,59.81346918183686,0.40503148917180026,,495.44427648377075,520.0517728259885,63.39614002636411,59.63898494978764,0.40572806403690165,,0.21190190313783344,0.045849450433426614,74.02946536351608,74.49057902529835,72.55604055887537,603.7714383363771,2.3558503542028553
min,2026.0,1.0,1.0,1.0,1.0,,,1.0,10135.0,,,,10135.0,,,,2.0,1.0,-59.0,0.0,0.0,,1.0,1.0,-85.0,0.0,0.0,,0.0,0.0,-64.0,17.0,9.0,31.0,1.0
25%,2026.0,1.0,1.0,8.0,2.0,,,1217.0,11292.0,,,,11292.0,,,,905.0,911.0,-6.0,0.0,0.0,,1120.0,1107.0,-18.0,0.0,0.0,,0.0,0.0,98.0,92.0,65.0,404.0,2.0
50%,2026.0,1.0,1.0,16.0,4.0,,,2279.0,12889.0,,,,12889.0,,,,1310.0,1319.0,-2.0,0.0,0.0,,1525.0,1515.0,-7.0,0.0,0.0,,0.0,0.0,137.0,130.0,102.0,704.0,3.0
75%,2026.0,1.0,1.0,24.0,6.0,,,3707.0,14057.0,,,,14057.0,,,,1719.0,1728.0,9.0,9.0,0.0,,1923.0,1917.0,9.0,9.0,0.0,,0.0,0.0,185.0,179.0,149.0,1083.0,5.0
max,2026.0,1.0,1.0,31.0,7.0,,,9914.0,16869.0,,,,16869.0,,,,2359.0,2400.0,3339.0,3339.0,1.0,,2359.0,2400.0,3339.0,3339.0,1.0,,1.0,1.0,1202.0,763.0,693.0,4983.0,11.0
